NAME,ADDRESS,CITY,STATE,ZIP,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE
ACADEMY OF HAIR DESIGN-LAS VEGAS,"5191 W. CHARLESTON, #150",LAS VEGAS,NV,89146,262,CLARK,32003,USA,36.15850465,-115.2105043
ALTIERUS CAREER COLLEGE-HENDERSON,170 NORTH STEPHAINE SUITE 145,HENDERSON,NV,89074,298,CLARK,32003,USA,36.037585,-115.046158
SUNY BROOME COMMUNITY COLLEGE,907 UPPER FRONT ST,BINGHAMTON,NY,13905,6443,BROOME,36007,USA,42.13531981,-75.90921233
CONTINENTAL SCHOOL OF BEAUTY CULTURE-BATAVIA,215 E. MAIN ST,BATAVIA,NY,14020,29,GENESEE,36037,USA,42.99735059,-78.18009874
CORNING COMMUNITY COLLEGE,1 ACADEMIC DR,CORNING,NY,14830,4218,STEUBEN,36101,USA,42.11724039,-77.07370787
MESIVTHA TIFERETH JERUSALEM OF AMERICA,145 E BROADWAY,NEW YORK,NY,10002,81,NEW YORK,36061,USA,40.71381234,-73.99127087
COLLEGE OF MOUNT SAINT VINCENT,6301 RIVERDALE AVE,BRONX,NY,10471,2344,BRONX,36005,USA,40.91281445,-73.9063491
NEW YORK CHIROPRACTIC COLLEGE,2360 STATE ROUTE 89,SENECA FALLS,NY,13148,1241,SENECA,36099,USA,42.91172987,-76.75623156
RIDLEY-LOWELL BUSINESS & TECHNICAL INSTITUTE-BINGHAMTON,2 COURT STREET,BINGHAMTON,NY,13901,-999,BROOME,36007,USA,42.09929546,-75.91710681
ST LAWRENCE UNIVERSITY,23 ROMODA DRIVE,CANTON,NY,13617,3326,ST. LAWRENCE,36089,USA,44.58987873,-75.16134295
ST. JOSEPH'S COLLEGE-LONG ISLAND,155 W ROE BLVD,PATCHOGUE,NY,11772,4711,SUFFOLK,36103,USA,40.77562677,-73.02469658
SUNY BUFFALO STATE,1300 ELMWOOD AVE,BUFFALO,NY,14222,11307,ERIE,36029,USA,42.93369956,-78.88068439
ETI TECHNICAL COLLEGE,2076 YOUNGSTOWN WARREN RD,NILES,OH,44446,229,TRUMBULL,39155,USA,41.186919,-80.723177
PHAGANS BEAUTY COLLEGE,1565 SW 53RD STREET,CORVALLIS,OR,97333,69,BENTON,41003,USA,44.54995206,-123.3105059
ROSEBURG BEAUTY COLLEGE,700 SE STEPHENS ST,ROSEBURG,OR,97470,24,DOUGLAS,41019,USA,43.20858725,-123.3469529
JOLIE HAIR AND BEAUTY ACADEMY-HAZLETON,1057A NORTH CHURCH STREET,HAZLETON,PA,18201,69,LUZERNE,42079,USA,40.97510179,-75.97729969
AUTOMOTIVE TRAINING CENTER-EXTON,114 PICKERING WAY,EXTON,PA,19341,343,CHESTER,42029,USA,40.05820591,-75.64307915
BIBLICAL THEOLOGICAL SEMINARY,200 N MAIN ST,HATFIELD,PA,19440,285,MONTGOMERY,42091,USA,40.28141447,-75.30389669
CURTIS INSTITUTE OF MUSIC,1726 LOCUST ST,PHILADELPHIA,PA,19103,347,PHILADELPHIA,42101,USA,39.94857108,-75.17094965
HARCUM COLLEGE,750 MONTGOMERY AVE,BRYN MAWR,PA,19010,1960,MONTGOMERY,42091,USA,40.02258268,-75.31479544
LANSDALE SCHOOL OF COSMETOLOGY INC,215 W MAIN ST,LANSDALE,PA,19446,61,MONTGOMERY,42091,USA,40.24333795,-75.28616577
LINCOLN TECHNICAL INSTITUTE-PHILADELPHIA,9191 TORRESDALE AVE,PHILADELPHIA,PA,19136,271,PHILADELPHIA,42101,USA,40.04954774,-74.99968598
LUTHERAN THEOLOGICAL SEMINARY AT PHILADELPHIA,7301 GERMANTOWN AVE,PHILADELPHIA,PA,19119,-999,PHILADELPHIA,42101,USA,40.06163605,-75.19149633
